pmid,title,authors,year,journal,doi,query,search_date
38257075,Nutrition and Chronobiology as Key Components of Multidisciplinary Therapeutic Interventions for Fibromyalgia and Associated Chronic Fatigue Syndrome: A Narrative and Critical Review.,Noèlia Carrasco-Querol; Lorena Cabricano-Canga; Nerea Bueno Hernández; Alessandra Queiroga Gonçalves; Rosa Caballol Angelats; Macarena Pozo Ariza; Carme Martín-Borràs; Pilar Montesó-Curto; Elisabet Castro Blanco; Maria Rosa Dalmau Llorca; Carina Aguilar Martín,2024,Nutrients,10.3390/nu16020182,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803279
32192466,"Determining the association between fibromyalgia, the gut microbiome and its biomarkers: A systematic review.",Sharon Erdrich; Jason A Hawrelak; Stephen P Myers; Joanna E Harnett,2020,BMC musculoskeletal disorders,10.1186/s12891-020-03201-9,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803322
37489361,Microbiota and Mitochondrial Sex-Dependent Imbalance in Fibromyalgia: A Pilot Descriptive Study.,Jorge A Ramírez-Tejero; Elena Durán-González; Antonio Martínez-Lara; Laura Lucena Del Amo; Isabel Sepúlveda; Andrés Huancas-Díaz; Marco Carvajal; David Cotán,2023,Neurology international,10.3390/neurolint15030055,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803370
38663650,"Fecal Microbiota Transplantation Improves Clinical Symptoms of Fibromyalgia: An Open-Label, Randomized, Nonplacebo-Controlled Study.",Hongwei Fang; Qianhao Hou; Wei Zhang; Zehua Su; Jinyuan Zhang; Jingze Li; Jiaqi Lin; Zetian Wang; Xiuqin Yu; Yu Yang; Qing Wang; Xin Li; Yuling Li; Lungui Hu; Shun Li; Xiangrui Wang; Lijun Liao,2024,The journal of pain,10.1016/j.jpain.2024.104535,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803425
40291383,Fibromyalgia: are you a genetic/environmental disease?,Jacob N Ablin,2025,Pain reports,10.1097/PR9.0000000000001256,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803451
38260871,Causal association between gut microbiota and fibromyalgia: a Mendelian randomization study.,Zhaohua Wang; Dan Jiang; Min Zhang; Yu Teng; Yaojiang Huang,2023,Frontiers in microbiology,10.3389/fmicb.2023.1305361,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803480
32116215,Gut microbiome: pertinence in fibromyalgia.,Amir Minerbi; Mary-Ann Fitzcharles,2020,Clinical and experimental rheumatology,,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803497
40115610,Uncovering the Hidden Link Between the Aberrant Intestinal Microbiome and Fibromyalgia.,Ade Waterman; Stavros A Doumas; Michele Fischer; Mark Mattar; Samer Charbel; Joseph Jennings; David B Doman,2025,Gastroenterology & hepatology,,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803540
39456224,Human Herpesvirus-6B Infection and Alterations of Gut Microbiome in Patients with Fibromyalgia: A Pilot Study.,Lauma Ievina; Nikita Fomins; Dita Gudra; Viktorija Kenina; Anda Vilmane; Sabine Gravelsina; Santa Rasa-Dzelzkaleja; Modra Murovska; Davids Fridmanis; Zaiga Nora-Krukle,2024,Biomolecules,10.3390/biom14101291,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803589
40968597,Fecal Microbiome in Women With Fibromyalgia: Functional Composition and Symptom Correlations.,Sharon Erdrich; Ingrid C Gelissen; Ryan Toma; Momchilo Vuyisich; Joanna E Harnett,2025,ACR open rheumatology,10.1002/acr2.70115,fibromyalgia[TIAB] AND (microbiome[TIAB] OR microbiota[TIAB]),2025-09-25T00:11:12.803623
