pmid,title,abstract,authors,journal,publication_year,doi,mesh_terms,title_screening_relevant,title_screening_reason,title_screening_notes,abstract_screening_relevant,abstract_screening_reason,abstract_screening_notes,full_text_screening_relevant,full_text_screening_reason,full_text_screening_notes,final_inclusion,exclusion_reason
34628447,Study Title for PMID 34628447,Abstract text for PMID 34628447,"Author1, Author2 et al.",Journal Name,2023,10.1000/34628447,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
34209042,Study Title for PMID 34209042,Abstract text for PMID 34209042,"Author1, Author2 et al.",Journal Name,2023,10.1000/34209042,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
34201139,Study Title for PMID 34201139,Abstract text for PMID 34201139,"Author1, Author2 et al.",Journal Name,2023,10.1000/34201139,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
34069166,Study Title for PMID 34069166,Abstract text for PMID 34069166,"Author1, Author2 et al.",Journal Name,2023,10.1000/34069166,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
33468164,Study Title for PMID 33468164,Abstract text for PMID 33468164,"Author1, Author2 et al.",Journal Name,2023,10.1000/33468164,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
33331911,Study Title for PMID 33331911,Abstract text for PMID 33331911,"Author1, Author2 et al.",Journal Name,2023,10.1000/33331911,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
32899756,Study Title for PMID 32899756,Abstract text for PMID 32899756,"Author1, Author2 et al.",Journal Name,2023,10.1000/32899756,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
32192466,Study Title for PMID 32192466,Abstract text for PMID 32192466,"Author1, Author2 et al.",Journal Name,2023,10.1000/32192466,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
32158700,Study Title for PMID 32158700,Abstract text for PMID 32158700,"Author1, Author2 et al.",Journal Name,2023,10.1000/32158700,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
31327695,Study Title for PMID 31327695,Abstract text for PMID 31327695,"Author1, Author2 et al.",Journal Name,2023,10.1000/31327695,"Fibromyalgia, Microbiome",False,Does not mention microbiome diversity in FM patients,,False,No quantitative diversity data,,False,Insufficient sample size or methods,,False,Study does not meet eligibility criteria
28900158,Study Title for PMID 28900158,Abstract text for PMID 28900158,"Author1, Author2 et al.",Journal Name,2023,10.1000/28900158,"Fibromyalgia, Microbiome",True,Meets inclusion criteria,,True,Contains diversity measures in FM cohort,,True,Suitable methods and outcomes,,True,
