study_id,pmid,metric,effect_size,standard_error,variance,weight,study_design,sample_size_fm,sample_size_control,country,publication_year,quality_score,sequencing_platform
"Albayrak, 2021",33882648,chao1,-0.3810,0.2170,0.0471,21.2364,Cohort,54,36,International,2021,9,Illumina
"Albayrak, 2021",33882648,observed,-0.4720,0.2180,0.0475,21.0420,Cohort,54,36,International,2021,9,Illumina
"Freidin, 2021",33331911,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2021,8,Illumina
"Freidin, 2021",33331911,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2021,8,Illumina
"Clos-Garcia, 2019",31327695,shannon,-0.3910,0.2730,0.0745,13.4176,Case-control,30,25,International,2019,8,Illumina
"Clos-Garcia, 2019",31327695,simpson,-0.5030,0.2750,0.0756,13.2231,Case-control,30,25,International,2019,8,Illumina
"Clos-Garcia, 2019",31327695,chao1,-0.3800,0.2730,0.0745,13.4176,Case-control,30,25,International,2019,8,Illumina
"Clos-Garcia, 2019",31327695,observed,-0.4710,0.2750,0.0756,13.2231,Case-control,30,25,International,2019,8,Illumina
"Minerbi, 2019",31219947,shannon,-0.4090,0.2160,0.0467,21.4335,Case-control,30,79,International,2019,8,Illumina
"Minerbi, 2019",31219947,simpson,-0.5400,0.2180,0.0475,21.0420,Case-control,30,79,International,2019,8,Illumina
"Minerbi, 2019",31219947,chao1,-0.3900,0.2160,0.0467,21.4335,Case-control,30,79,International,2019,8,Illumina
"Minerbi, 2019",31219947,observed,-0.4850,0.2170,0.0471,21.2364,Case-control,30,79,International,2019,8,Illumina
