study_id,title,authors,overall_risk,confidence,confounding_risk,selection_risk,intervention_risk,deviations_risk,missing_data_risk,outcomes_risk,reporting_risk
pmid_37123451,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123452,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123453,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123454,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123455,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123456,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123457,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123458,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123459,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234510,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234511,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234512,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234513,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_371234514,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123450,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_37123451,Rifampicin and isoniazid combination alters gut microbiota composition in tuberculosis patients,"Smith, J., Johnson, A.",moderate,Moderate confidence,moderate,moderate,moderate,moderate,moderate,moderate,moderate
pmid_39056780,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., M, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056781,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., N, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056782,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., O, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056783,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., P, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056784,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., Q, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056785,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., R, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056786,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., S, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056787,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., T, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056788,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., U, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056789,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., V, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056780,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., M, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056781,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., N, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056782,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., O, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056783,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., P, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056784,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., Q, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056785,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., R, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056786,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., S, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056787,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., T, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056788,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., U, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056789,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., V, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056780,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., M, S.",low,High confidence,low,low,low,low,low,low,low
pmid_39056781,Gut dysbiosis patterns in tuberculosis chemotherapy: From rifampicin to microbiome restoration,"Patel, D., N, S.",low,High confidence,low,low,low,low,low,low,low
