date,scenario,scenario_description,mdr_percentage,year
2026-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,15.5830683046517,2026
2027-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,13.735446425388865,2027
2028-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,11.89096627987734,2028
2029-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,9.411123783682944,2029
2030-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,6.820861869180075,2030
2031-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,4.117140495565916,2031
2032-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,2.6,2032
2033-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,2.6,2033
2034-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,2.6,2034
2035-01-01,Combination_BPaL_Drug,BPaL + drug surveillance combination,2.6,2035
2024-01-01,Full_Package,Complete intervention package (all above),17.50782880198477,2024
2025-01-01,Full_Package,Complete intervention package (all above),16.191462471057267,2025
2026-01-01,Full_Package,Complete intervention package (all above),14.174092944208812,2026
2027-01-01,Full_Package,Complete intervention package (all above),12.152033599390636,2027
2028-01-01,Full_Package,Complete intervention package (all above),8.839378348617576,2028
2029-01-01,Full_Package,Complete intervention package (all above),6.810362524232857,2029
2030-01-01,Full_Package,Complete intervention package (all above),4.249256297123337,2030
2031-01-01,Full_Package,Complete intervention package (all above),3.180828702586508,2031
2032-01-01,Full_Package,Complete intervention package (all above),2.6,2032
2033-01-01,Full_Package,Complete intervention package (all above),2.6,2033
2034-01-01,Full_Package,Complete intervention package (all above),2.6,2034
2035-01-01,Full_Package,Complete intervention package (all above),2.6,2035
2024-01-01,Delayed_Response,Delayed intervention implementation,17.349361862540345,2024
2025-01-01,Delayed_Response,Delayed intervention implementation,17.335652325406524,2025
2026-01-01,Delayed_Response,Delayed intervention implementation,16.889457488464352,2026
2027-01-01,Delayed_Response,Delayed intervention implementation,17.32836175418508,2027
2028-01-01,Delayed_Response,Delayed intervention implementation,18.06452343477699,2028
2029-01-01,Delayed_Response,Delayed intervention implementation,19.34352642936987,2029
2030-01-01,Delayed_Response,Delayed intervention implementation,20.440679392112706,2030
2031-01-01,Delayed_Response,Delayed intervention implementation,23.21449538855255,2031
2032-01-01,Delayed_Response,Delayed intervention implementation,26.619290022305435,2032
2033-01-01,Delayed_Response,Delayed intervention implementation,30.199403881578707,2033
2034-01-01,Delayed_Response,Delayed intervention implementation,35.15390235139297,2034
2035-01-01,Delayed_Response,Delayed intervention implementation,40.61271896530283,2035
