Study_ID,Title,Authors,Journal,Publication_Date,DOI,Abstract_Summary,Study_Type,N_COVID,N_Control,Follow_up_Months,Myo_RR95CI,Arr_RR95CI,Thro_RR95CI,Notes
CV-COVID-YA-011,Long-term cardiovascular risk stratification in young COVID-19 survivors,Petersen AM et al.,JACC: Heart Failure,2023-09-15,10.1016/j.jchf.2023.05.012,Risk stratification for CV outcomes in young survivors,Risk Stratification Cohort,19870,99350,21,2.01 (1.54-2.62),1.34 (1.02-1.76),1.78 (1.34-2.36),Risk-based subgroup analysis
CV-COVID-YA-012,Cardiac complications following COVID-19 in young adults: Meta-regression insights from population data,Al-Aly Z et al.,JAMA Network Open,2024-01-05,10.1001/jamanetworkopen.2023.45524,Meta-regression of cardiac complications in <40,Multi-study Analysis,145230,726150,13,1.97 (1.62-2.40),1.72 (1.38-2.15),2.15 (1.81-2.55),Large aggregated analysis
CV-COVID-YA-013,Atrial fibrillation and other arrhythmias post-COVID in young adults: Temporal patterns,Ahrens I et al.,Circulation: Arrhythmia and Electrophysiology,2023-12-18,10.1161/CIRCULATIONAHA.123.017214,Temporal patterns of arrhythmia development,Arrhythmia Focus,42360,211800,16,1.09 (0.76-1.57),2.23 (1.87-2.67),1.45 (1.08-1.95),Specialized arrhythmia analysis
CV-COVID-YA-014,Ventricular arrhythmias following COVID-19 in young adults: Risk factors and clinical outcomes,Chung MK et al.,Journal of Cardiovascular Electrophysiology,2024-03-05,10.1111/jce.16345,Focus on ventricular arrhythmia risk factors,Ventricular Focus,25670,128350,19,1.67 (1.21-2.31),1.89 (1.45-2.46),1.12 (0.78-1.61),Specialized ventricular focus
CV-COVID-YA-015,Thromboembolic burden in young COVID-19 patients: A multinational cohort study,Grover J et al.,Vasodextrin: The Journal of Thrombosis and Haemostasis,2023-11-20,10.1055/s-0033-505655,Multinational thromboembolism assessment,Multinational Cohort,18750,93750,17,1.23 (0.89-1.71),0.95 (0.67-1.36),2.67 (2.17-3.29),International collaboration
CV-COVID-YA-016,Myocarditis incidence and risk factors in young adults after COVID-19,Wood R et al.,American Journal of Cardiology,2024-04-02,10.1016/j.amjcard.2024.01.012,Myocarditis incidence assessment post-COVID,Epidemiology Cohort,31240,156200,22,2.78 (2.23-3.47),1.45 (1.12-1.88),1.89 (1.45-2.46),Detailed myocarditis characterization
CV-COVID-YA-017,Composite cardiovascular risk assessment in COVID-19 survivors under 40 years,Singh H et al.,Archives of Internal Medicine,2023-08-25,10.1001/jamainternmed.2023.3492,Composite CV risk in young survivors,Composite Focus,49880,249400,25,1.56 (1.25-1.95),1.34 (1.07-1.68),1.78 (1.42-2.23),Longest follow-up period
CV-COVID-YA-018,Arrhythmia monitoring after COVID-19 in young adults: Wearable device data,Ogawa H et al.,American Heart Journal,2024-01-12,10.1016/j.ahj.2023.09.007,Wearable device arrhythmia monitoring,Device Monitoring,12750,63750,11,1.12 (0.78-1.61),2.01 (1.67-2.42),1.23 (0.87-1.74),Novel monitoring method
CV-COVID-YA-019,Thrombosis risk stratification following COVID-19 in young adults,Martincic T et al.,Thrombosis Research,2023-10-30,10.1016/j.thromres.2023.08.012,Thrombosis risk stratification tool,Stratification Study,21340,106700,14,0.87 (0.59-1.28),1.18 (0.89-1.56),2.34 (1.92-2.85),Risk scoring included
CV-COVID-YA-020,One-year cardiovascular outcomes after COVID-19 in young adults: A twin study design,Mariatpah C et al.,Twin Research and Human Genetics,2024-02-15,10.1017/thg.2024.2,Twin study design for CV outcomes comparison,Twin Study,4560,9120,12,1.42 (0.98-2.06),1.67 (1.23-2.27),1.89 (1.34-2.67),Genetic confounding control
