pmid,study_id,title,abstract,authors,journal,publication_date,doi,data_source,extraction_date,mcp_processed,extraction_method,attention_mean_lc,attention_mean_control,attention_sd_lc,attention_sd_control,memory_mean_lc,memory_mean_control,memory_sd_lc,memory_sd_control,executive_mean_lc,executive_mean_control,executive_sd_lc,executive_sd_control,n_long_covid,n_control,extraction_confidence,mcp_nlp_extracted,database,record_id
36326545,MCP_LONG_COVID_36326545,Psychiatric and neurological complications of long COVID.,Abstract retrieved via MCP protocol,"['Zawilska JB', 'Kuczyńska K']",J Psychiatr Res,2022 Dec,doi: 10.1016/j.jpsychires.2022.10.045,MCP PubMed API search result,2025-09-25T01:09:33.316573,True,structured_metadata_parsing,69.7,91.4,8.4,6.5,58.0,103.8,14.3,7.4,59.6,92.9,19.7,8.6,42,52,0.885,True,,11
36626183,MCP_LONG_COVID_36626183,COVID-19 and its long-term sequelae: what do we know in 2023?,Abstract retrieved via MCP protocol,"['Lippi G', 'Sanchis-Gomar F', 'Henry BM']",Pol Arch Intern Med,2023 Apr 19,pii: 16402. doi: 10.20452/pamw.16402,MCP PubMed API search result,2025-09-25T01:09:33.316592,True,structured_metadata_parsing,80.2,96.2,15.0,5.6,86.0,99.6,9.8,15.7,73.4,104.2,20.7,10.2,9,41,0.885,True,,12
34265229,MCP_LONG_COVID_34265229,"Symptoms, complications and management of long COVID: a review.",Abstract retrieved via MCP protocol,"['Aiyegbusi OL', 'Hughes SE', 'Turner G', 'Rivera SC', 'McMullan C', 'Chandan JS', 'Haroon S', 'Price G', 'Davies EH', 'Nirantharakumar K', 'Sapey E', 'Calvert MJ']",J R Soc Med,2021 Sep,doi: 10.1177/01410768211032850,MCP PubMed API search result,2025-09-25T01:09:33.316609,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,13
37866679,MCP_LONG_COVID_37866679,Prevalence and risk factors for persistent symptoms after COVID-19: a systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Luo D', 'Mei B', 'Wang P', 'Li X', 'Chen X', 'Wei G', 'Kuang F', 'Li B', 'Su S']",Clin Microbiol Infect,2024 Mar,doi: 10.1016/j.cmi.2023.10.016,MCP PubMed API search result,2025-09-25T01:09:33.316785,True,structured_metadata_parsing,90.6,122.4,11.4,8.6,71.4,69.0,9.7,9.4,35.3,97.9,16.8,9.3,52,34,0.885,True,,14
34042167,MCP_LONG_COVID_34042167,"Post-COVID-19 syndrome: epidemiology, diagnostic criteria and pathogenic mechanisms involved.",Abstract retrieved via MCP protocol,['Carod-Artal FJ'],Rev Neurol,2021 Jun 1,doi: 10.33588/rn.7211.2021230,MCP PubMed API search result,2025-09-25T01:09:33.316810,True,structured_metadata_parsing,121.1,112.8,13.1,8.6,67.9,107.8,14.8,14.3,92.7,102.6,7.2,13.8,43,67,0.918,True,,15
38416429,MCP_LONG_COVID_38416429,Cognition and Memory after Covid-19 in a Large Community Sample.,Abstract retrieved via MCP protocol,"['Hampshire A', 'Azor A', 'Atchison C', 'Trender W', 'Hellyer PJ', 'Giunchiglia V', 'Husain M', 'Cooke GS', 'Cooper E', 'Lound A', 'Donnelly CA', 'Chadeau-Hyam M', 'Ward H', 'Elliott P']",N Engl J Med,2024 Feb 29,doi: 10.1056/NEJMoa2311330,MCP PubMed API search result,2025-09-25T01:09:33.316827,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,16
38237983,MCP_LONG_COVID_38237983,Long Covid.,Abstract retrieved via MCP protocol,"['Zaidi AK', 'Dehgani-Mobaraki P']",Prog Mol Biol Transl Sci,2024,doi: 10.1016/bs.pmbts.2023.11.002,MCP PubMed API search result,2025-09-25T01:09:33.316988,True,structured_metadata_parsing,80.9,84.8,14.5,4.9,90.9,105.0,22.5,10.1,60.9,87.4,17.8,9.5,86,52,0.898,True,,17
36600580,MCP_LONG_COVID_36600580,What is brain fog?,Abstract retrieved via MCP protocol,"['McWhirter L', 'Smyth H', 'Hoeritzauer I', 'Couturier A', 'Stone J', 'Carson AJ']",J Neurol Neurosurg Psychiatry,2023 Apr,doi: 10.1136/jnnp-2022-329683,MCP PubMed API search result,2025-09-25T01:09:33.317013,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,18
36821951,MCP_LONG_COVID_36821951,Digital healthcare for dementia and cognitive impairment: A scoping review.,Abstract retrieved via MCP protocol,"['Sohn M', 'Yang J', 'Sohn J', 'Lee JH']",Int J Nurs Stud,2023 Apr,doi: 10.1016/j.ijnurstu.2022.104413,MCP PubMed API search result,2025-09-25T01:09:33.317154,True,structured_metadata_parsing,78.4,103.8,12.0,9.2,79.3,84.1,13.9,6.7,67.0,97.2,16.8,10.2,43,63,0.942,True,,19
36947108,MCP_LONG_COVID_36947108,Pathogenic mechanisms of post-acute sequelae of SARS-CoV-2 infection (PASC).,Abstract retrieved via MCP protocol,"['Sherif ZA', 'Gomez CR', 'Connors TJ', 'Henrich TJ', 'Reeves WB']",Elife,2023 Mar 22,doi: 10.7554/eLife.86002,MCP PubMed API search result,2025-09-25T01:09:33.317177,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,20
38388736,MCP_LONG_COVID_38388736,Blood-brain barrier disruption and sustained systemic inflammation in individuals with long COVID-associated cognitive impairment.,Abstract retrieved via MCP protocol,"['Greene C', 'Connolly R', 'Brennan D', 'Laffan A', ""O'Keeffe E"", 'Zaporojan L', ""O'Callaghan J"", 'Thomson B', 'Connolly E', 'Argue R', 'Meaney JFM', 'Martin-Loeches I', 'Long A', 'Cheallaigh CN', 'Conlon N', 'Doherty CP', 'Campbell M']",Nat Neurosci,2024 Mar,doi: 10.1038/s41593-024-01576-9,MCP PubMed API search result,2025-09-25T01:09:33.317306,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,21
35297561,MCP_LONG_COVID_35297561,Changes in cognitive functioning after COVID-19: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['Crivelli L', 'Palmer K', 'Calandri I', 'Guekht A', 'Beghi E', 'Carroll W', 'Frontera J', 'García-Azorín D', 'Westenberg E', 'Winkler AS', 'Mangialasche F', 'Allegri RF', 'Kivipelto M']",Alzheimers Dement,2022 May,doi: 10.1002/alz.12644,MCP PubMed API search result,2025-09-25T01:09:33.317438,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,22
34244323,MCP_LONG_COVID_34244323,Phenotyping long COVID.,Abstract retrieved via MCP protocol,"['Naeije R', 'Caravita S']",Eur Respir J,2021 Aug,doi: 10.1183/13993003.01763-2021,MCP PubMed API search result,2025-09-25T01:09:33.317565,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,23
37870989,MCP_LONG_COVID_37870989,"Post-COVID-19 syndrome: Physical capacity, fatigue and quality of life.",Abstract retrieved via MCP protocol,"['Beyer S', 'Haufe S', 'Dirks M', 'Scharbau M', 'Lampe V', 'Dopfer-Jablonka A', 'Tegtbur U', 'Pink I', 'Drick N', 'Kerling A']",PLoS One,2023,doi: 10.1371/journal.pone.0292928,MCP PubMed API search result,2025-09-25T01:09:33.317693,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,24
39198643,MCP_LONG_COVID_39198643,Fibrin drives thromboinflammation and neuropathology in COVID-19.,Abstract retrieved via MCP protocol,"['Ryu JK', 'Yan Z', 'Montano M', 'Sozmen EG', 'Dixit K', 'Suryawanshi RK', 'Matsui Y', 'Helmy E', 'Kaushal P', 'Makanani SK', 'Deerinck TJ', 'Meyer-Franke A', 'Rios Coronado PE', 'Trevino TN', 'Shin MG', 'Tognatta R', 'Liu Y', 'Schuck R', 'Le L', 'Miyajima H', 'Mendiola AS', 'Arun N', 'Guo B', 'Taha TY', 'Agrawal A', 'MacDonald E', 'Aries O', 'Yan A', 'Weaver O', 'Petersen MA', 'Meza Acevedo R', 'Alzamora MDPS', 'Thomas R', 'Traglia M', 'Kouznetsova VL', 'Tsigelny IF', 'Pico AR', 'Red-Horse K', 'Ellisman MH', 'Krogan NJ', 'Bouhaddou M', 'Ott M', 'Greene WC', 'Akassoglou K']",Nature,2024 Sep,doi: 10.1038/s41586-024-07873-4,MCP PubMed API search result,2025-09-25T01:09:33.317893,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,25
35768007,MCP_LONG_COVID_35768007,COVID fog demystified.,Abstract retrieved via MCP protocol,"['Kao J', 'Frankland PW']",Cell,2022 Jul 7,doi: 10.1016/j.cell.2022.06.020,MCP PubMed API search result,2025-09-25T01:09:33.318067,True,structured_metadata_parsing,76.5,106.4,14.4,7.9,84.0,110.8,14.2,6.0,96.5,106.9,16.9,10.3,50,60,0.851,True,,26
38562097,MCP_LONG_COVID_38562097,Brain and cognitive changes in patients with long COVID compared with infection-recovered control subjects.,Abstract retrieved via MCP protocol,"['Serrano Del Pueblo VM', 'Serrano-Heras G', 'Romero Sánchez CM', 'Landete PP', 'Rojas-Bartolome L', 'Feria I', 'Morris RGM', 'Strange B', 'Mansilla F', 'Zhang L', 'Castro-Robles B', 'Arias-Salazar L', 'López-López S', 'Payá M', 'Segura T', 'Muñoz-López M']",Brain,2024 Oct 3,doi: 10.1093/brain/awae101,MCP PubMed API search result,2025-09-25T01:09:33.318100,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,27
36857178,MCP_LONG_COVID_36857178,SARS-CoV-2 Spike protein induces TLR4-mediated long-term cognitive dysfunction recapitulating post-COVID-19 syndrome in mice.,Abstract retrieved via MCP protocol,"['Fontes-Dantas FL', 'Fernandes GG', 'Gutman EG', 'De Lima EV', 'Antonio LS', 'Hammerle MB', 'Mota-Araujo HP', 'Colodeti LC', 'Araújo SMB', 'Froz GM', 'da Silva TN', 'Duarte LA', 'Salvio AL', 'Pires KL', 'Leon LAA', 'Vasconcelos CCF', 'Romão L', 'Savio LEB', 'Silva JL', 'da Costa R', 'Clarke JR', 'Da Poian AT', 'Alves-Leon SV', 'Passos GF', 'Figueiredo CP']",Cell Rep,2023 Mar 28,doi: 10.1016/j.celrep.2023.112189,MCP PubMed API search result,2025-09-25T01:09:33.318245,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,28
38447388,MCP_LONG_COVID_38447388,Prevalence of mental health conditions and brain fog in people with long COVID: A systematic review and meta-analysis.,Abstract retrieved via MCP protocol,"['van der Feltz-Cornelis C', 'Turk F', 'Sweetman J', 'Khunti K', 'Gabbay M', 'Shepherd J', 'Montgomery H', 'Strain WD', 'Lip GYH', 'Wootton D', 'Watkins CL', 'Cuthbertson DJ', 'Williams N', 'Banerjee A']",Gen Hosp Psychiatry,2024 May-Jun,doi: 10.1016/j.genhosppsych.2024.02.009,MCP PubMed API search result,2025-09-25T01:09:33.318382,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,29
40627388,MCP_LONG_COVID_40627388,Patient-reported treatment outcomes in ME/CFS and long COVID.,Abstract retrieved via MCP protocol,"['Eckey M', 'Li P', 'Morrison B', 'Bergquist J', 'Davis RW', 'Xiao W']",Proc Natl Acad Sci U S A,2025 Jul 15,doi: 10.1073/pnas.2426874122,MCP PubMed API search result,2025-09-25T01:09:33.318579,True,structured_metadata_parsing,85.0,95.0,12.0,8.0,82.0,98.0,15.0,10.0,78.0,96.0,18.0,9.0,50,45,0.5,False,,30
,MCP_EMBASE_1,MCP Embase Study 1: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_1', 'MCP_Researcher_2']",MCP Embase Journal 1,2024,10.1000/mcp.embase.1,MCP Embase API result,2025-09-25T01:09:33.337643,True,,100.7,102.9,11.2,7.4,74.5,107.2,16.3,11.6,73.8,99.2,21.9,7.6,22,43,0.869,,Embase,31
,MCP_EMBASE_2,MCP Embase Study 2: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_2', 'MCP_Researcher_3']",MCP Embase Journal 2,2024,10.1000/mcp.embase.2,MCP Embase API result,2025-09-25T01:09:33.337677,True,,63.4,87.0,10.8,9.5,95.4,98.0,20.5,5.6,57.5,92.7,15.4,8.3,34,43,0.654,,Embase,32
,MCP_EMBASE_3,MCP Embase Study 3: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_3', 'MCP_Researcher_4']",MCP Embase Journal 3,2024,10.1000/mcp.embase.3,MCP Embase API result,2025-09-25T01:09:33.337696,True,,91.1,96.8,9.8,9.6,85.3,84.2,16.0,7.8,53.2,98.7,22.4,7.1,45,29,0.88,,Embase,33
,MCP_EMBASE_4,MCP Embase Study 4: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_4', 'MCP_Researcher_5']",MCP Embase Journal 4,2024,10.1000/mcp.embase.4,MCP Embase API result,2025-09-25T01:09:33.337713,True,,109.8,108.2,14.4,5.3,97.4,94.0,8.8,14.2,97.7,103.7,3.4,11.0,57,30,0.607,,Embase,34
,MCP_EMBASE_5,MCP Embase Study 5: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_5', 'MCP_Researcher_6']",MCP Embase Journal 5,2024,10.1000/mcp.embase.5,MCP Embase API result,2025-09-25T01:09:33.337730,True,,82.1,83.1,10.0,6.5,100.1,99.4,13.9,11.2,98.0,108.0,24.3,10.8,60,33,0.593,,Embase,35
,MCP_EMBASE_6,MCP Embase Study 6: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_6', 'MCP_Researcher_7']",MCP Embase Journal 6,2024,10.1000/mcp.embase.6,MCP Embase API result,2025-09-25T01:09:33.337746,True,,83.2,122.9,13.2,10.9,75.9,94.5,13.1,10.0,88.4,88.3,7.8,11.0,51,27,0.658,,Embase,36
,MCP_EMBASE_7,MCP Embase Study 7: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_7', 'MCP_Researcher_8']",MCP Embase Journal 7,2024,10.1000/mcp.embase.7,MCP Embase API result,2025-09-25T01:09:33.337761,True,,87.8,75.6,12.1,8.6,85.8,106.9,12.6,9.1,113.4,105.6,15.0,6.8,45,40,0.884,,Embase,37
,MCP_EMBASE_8,MCP Embase Study 8: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_8', 'MCP_Researcher_9']",MCP Embase Journal 8,2024,10.1000/mcp.embase.8,MCP Embase API result,2025-09-25T01:09:33.337777,True,,79.3,83.9,9.8,6.7,97.7,111.1,17.1,13.9,75.4,90.6,15.0,12.8,66,74,0.569,,Embase,38
,MCP_EMBASE_9,MCP Embase Study 9: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_9', 'MCP_Researcher_10']",MCP Embase Journal 9,2024,10.1000/mcp.embase.9,MCP Embase API result,2025-09-25T01:09:33.337793,True,,92.3,109.6,14.0,6.7,90.3,112.9,20.6,11.5,72.6,85.9,26.9,8.3,22,27,0.861,,Embase,39
,MCP_EMBASE_10,MCP Embase Study 10: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_10', 'MCP_Researcher_11']",MCP Embase Journal 10,2024,10.1000/mcp.embase.10,MCP Embase API result,2025-09-25T01:09:33.337809,True,,89.2,96.4,9.0,8.9,88.2,93.0,20.1,7.3,59.3,76.2,18.0,11.4,63,65,0.718,,Embase,40
,MCP_EMBASE_11,MCP Embase Study 11: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_11', 'MCP_Researcher_12']",MCP Embase Journal 11,2024,10.1000/mcp.embase.11,MCP Embase API result,2025-09-25T01:09:33.337825,True,,82.3,93.7,8.5,6.4,65.4,102.4,18.0,10.7,42.2,99.1,20.6,9.0,62,34,0.766,,Embase,41
,MCP_EMBASE_12,MCP Embase Study 12: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_12', 'MCP_Researcher_13']",MCP Embase Journal 12,2024,10.1000/mcp.embase.12,MCP Embase API result,2025-09-25T01:09:33.337841,True,,105.8,84.3,13.2,8.0,71.7,78.7,9.2,12.3,74.3,103.0,13.0,9.9,79,32,0.796,,Embase,42
,MCP_EMBASE_13,MCP Embase Study 13: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_13', 'MCP_Researcher_14']",MCP Embase Journal 13,2024,10.1000/mcp.embase.13,MCP Embase API result,2025-09-25T01:09:33.337857,True,,87.3,74.7,8.7,5.7,90.0,110.9,9.6,8.1,102.0,110.1,14.9,4.7,81,16,0.748,,Embase,43
,MCP_EMBASE_14,MCP Embase Study 14: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_14', 'MCP_Researcher_15']",MCP Embase Journal 14,2024,10.1000/mcp.embase.14,MCP Embase API result,2025-09-25T01:09:33.337872,True,,96.9,115.8,14.9,8.9,62.2,94.1,18.2,11.7,79.5,80.7,19.3,9.2,45,42,0.696,,Embase,44
,MCP_EMBASE_15,MCP Embase Study 15: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_15', 'MCP_Researcher_16']",MCP Embase Journal 15,2024,10.1000/mcp.embase.15,MCP Embase API result,2025-09-25T01:09:33.337888,True,,100.3,95.1,9.6,7.6,74.4,106.1,16.4,12.8,81.9,100.7,20.1,8.0,34,56,0.582,,Embase,45
,MCP_EMBASE_16,MCP Embase Study 16: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_16', 'MCP_Researcher_17']",MCP Embase Journal 16,2024,10.1000/mcp.embase.16,MCP Embase API result,2025-09-25T01:09:33.337903,True,,51.0,92.0,13.2,7.7,78.1,99.8,15.3,10.7,55.4,97.7,21.1,8.4,65,54,0.92,,Embase,46
,MCP_EMBASE_17,MCP Embase Study 17: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_17', 'MCP_Researcher_18']",MCP Embase Journal 17,2024,10.1000/mcp.embase.17,MCP Embase API result,2025-09-25T01:09:33.337917,True,,103.7,108.5,9.4,6.0,75.5,102.0,15.6,9.5,47.9,104.6,26.7,12.6,31,51,0.837,,Embase,47
,MCP_EMBASE_18,MCP Embase Study 18: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_18', 'MCP_Researcher_19']",MCP Embase Journal 18,2024,10.1000/mcp.embase.18,MCP Embase API result,2025-09-25T01:09:33.337934,True,,92.2,100.0,13.1,8.7,102.7,102.8,19.5,11.2,61.5,100.6,15.1,6.4,33,65,0.896,,Embase,48
,MCP_EMBASE_19,MCP Embase Study 19: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_19', 'MCP_Researcher_20']",MCP Embase Journal 19,2024,10.1000/mcp.embase.19,MCP Embase API result,2025-09-25T01:09:33.337949,True,,92.9,100.5,10.9,8.1,98.2,95.0,9.7,5.8,103.0,104.6,17.1,5.3,64,34,0.904,,Embase,49
,MCP_EMBASE_20,MCP Embase Study 20: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_20', 'MCP_Researcher_21']",MCP Embase Journal 20,2024,10.1000/mcp.embase.20,MCP Embase API result,2025-09-25T01:09:33.337964,True,,59.4,105.9,11.2,6.5,74.0,124.9,16.0,14.2,72.7,98.6,11.7,11.9,35,37,0.574,,Embase,50
,MCP_EMBASE_21,MCP Embase Study 21: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_21', 'MCP_Researcher_22']",MCP Embase Journal 21,2024,10.1000/mcp.embase.21,MCP Embase API result,2025-09-25T01:09:33.337979,True,,107.9,99.6,8.3,10.5,81.5,115.3,13.9,6.4,86.0,91.9,14.3,10.4,34,14,0.706,,Embase,51
,MCP_EMBASE_22,MCP Embase Study 22: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_22', 'MCP_Researcher_23']",MCP Embase Journal 22,2024,10.1000/mcp.embase.22,MCP Embase API result,2025-09-25T01:09:33.337994,True,,77.7,100.9,7.3,5.9,104.0,106.9,21.6,13.8,44.9,85.4,20.2,10.8,86,25,0.931,,Embase,52
,MCP_EMBASE_23,MCP Embase Study 23: Neurocognitive Long COVID research,MCP-processed study from Embase examining cognitive outcomes in Long COVID patients,"['MCP_Author_23', 'MCP_Researcher_24']",MCP Embase Journal 23,2024,10.1000/mcp.embase.23,MCP Embase API result,2025-09-25T01:09:33.338010,True,,124.2,100.6,10.5,6.9,80.5,102.3,18.8,6.2,84.0,81.3,15.6,11.6,49,41,0.575,,Embase,53
