study_id,pmid,title,screening_date,include,reasons,exclusion_reasons
STUDY_0047,29950480,"Study protocol for a multicentre, cluster randomised, superiority trial evaluating the impact of computerised decision support, audit and feedback on antibiotic use: the COMPuterized Antibiotic Stewardship Study (COMPASS).",2025-10-13T10:03:42.806685,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0048,28079629,Duration of pneumonia therapy and the role of biomarkers.,2025-10-13T10:03:42.806884,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0049,36746540,Scoping review protocol on the impact of antimicrobial resistance on cancer management and outcomes.,2025-10-13T10:03:42.807115,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0050,36757700,Association Between Antimicrobial Stewardship Programs and Antibiotic Use Globally: A Systematic Review and Meta-Analysis.,2025-10-13T10:03:42.807339,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0051,38136719,Primary Care Antibiotic Prescribing and Infection-Related Hospitalisation.,2025-10-13T10:03:42.807814,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0052,35970382,Impact of antimicrobial stewardship interventions to improve antibiotic prescribing for hospital inpatients in Africa: a systematic review and meta-analysis.,2025-10-13T10:03:42.808025,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0053,35042878,The impact of antimicrobial stewardship program designed to shorten antibiotics use on the incidence of resistant bacterial infections and mortality.,2025-10-13T10:03:42.808134,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0054,41049455,Nosocomial and Ventilator-associated Pneumonia.,2025-10-13T10:03:42.808240,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0055,25685719,"Antibiotic stewardship programmes in intensive care units: Why, how, and where are they leading us.",2025-10-13T10:03:42.808451,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Not original research']
STUDY_0056,25039787,The impact of infectious disease specialists on antibiotic prescribing in hospitals.,2025-10-13T10:03:42.808573,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Not original research']
STUDY_0057,36139925,Clinical Impact of a Pharmacist-Driven Prospective Audit with Intervention and Feedback on the Treatment of Patients with Bloodstream Infection.,2025-10-13T10:03:42.808682,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0058,36220019,[Antimicrobial stewardship program during the COVID-19 pandemic].,2025-10-13T10:03:42.808828,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0059,36006251,Antimicrobial Stewardship in Tropical Infectious Diseases: Focusing on Dengue and Malaria.,2025-10-13T10:03:42.808905,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting']"
STUDY_0060,29134582,Long-term efficacy of comprehensive multidisciplinary antibiotic stewardship programs centered on weekly prospective audit and feedback.,2025-10-13T10:03:42.809030,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0061,37887223,The Interventions and Challenges of Antimicrobial Stewardship in the Emergency Department.,2025-10-13T10:03:42.809310,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0062,29373980,Do we need new trials of procalcitonin-guided antibiotic therapy?,2025-10-13T10:03:42.809424,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0063,37666900,Impact of prolonged carbapenem use-focused antimicrobial stewardship on antimicrobial consumption and factors affecting acceptance of recommendations: a quasi-experimental study.,2025-10-13T10:03:42.809522,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting']"
STUDY_0064,37931306,Case Report: Molecular Characterization of Bloodstream Infections due to Carbapenem-Resistant Acinetobacter baumannii: A Pediatric Case Series.,2025-10-13T10:03:42.809676,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Pediatric population', 'Outpatient or long-term care setting']"
STUDY_0065,36716763,"Efficacy and safety of antimicrobial stewardship prospective audit and feedback in patients hospitalised with COVID-19 (COVASP): a pragmatic, cluster-randomised, non-inferiority trial.",2025-10-13T10:03:42.809778,True,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0066,34635529,Infectious diseases experts as part of the antibiotic stewardship team in primary care: protocol for a cluster-randomised blinded study (IDASP).,2025-10-13T10:03:42.809851,True,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",[]
STUDY_0067,34606056,Antibiotics in the pipeline: a literature review (2017-2020).,2025-10-13T10:03:42.809918,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0068,26511839,Differential outcome of an antimicrobial stewardship audit and feedback program in two intensive care units: a controlled interrupted time series study.,2025-10-13T10:03:42.809983,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0069,28303388,The Impact of Antibiotic Stewardship Programs in Combating Quinolone Resistance: A Systematic Review and Recommendations for More Efficient Interventions.,2025-10-13T10:03:42.810050,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0070,37061101,Diagnostic stewardship in infectious diseases: a continuum of antimicrobial stewardship in the fight against antimicrobial resistance.,2025-10-13T10:03:42.810143,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'outcomes: No relevant outcomes identified', 'Outpatient or long-term care setting']"
STUDY_0071,28562638,"Every antibiotic, every day: Maximizing the impact of prospective audit and feedback on total antibiotic use.",2025-10-13T10:03:42.810394,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['study_design: No RCT or ITS design identified']
STUDY_0072,36424530,"Combating the menace of antimicrobial resistance in Africa: a review on stewardship, surveillance and diagnostic strategies.",2025-10-13T10:03:42.810465,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0073,40539091,Systematic review and meta-analysis protocol of impact of pharmacist-led antibiotic stewardship audit-feedback intervention.,2025-10-13T10:03:42.810596,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'outcomes: No relevant outcomes identified', 'Outpatient or long-term care setting', 'Not original research']"
STUDY_0074,36980322,Antibiotic Resistance Diagnosis in ESKAPE Pathogens-A Review on Proteomic Perspective.,2025-10-13T10:03:42.810780,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Not original research']"
STUDY_0075,30675682,Interventions to Improve Antimicrobial Stewardship for Older People in Care Homes: A Systematic Review.,2025-10-13T10:03:42.810851,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0076,36139951,Plethora of Antibiotics Usage and Evaluation of Carbapenem Prescribing Pattern in Intensive Care Units: A Single-Center Experience of Malaysian Academic Hospital.,2025-10-13T10:03:42.810921,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Not original research']
STUDY_0077,30047540,Outcomes of intrahospital antimicrobial stewardship programs related to prevention of Clostridium difficile infection outbreaks.,2025-10-13T10:03:42.811081,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Not original research']
STUDY_0078,32895246,Respiratory tract infections (RTIs) in primary care: narrative review of C reactive protein (CRP) point-of-care testing (POCT) and antibacterial use in patients who present with symptoms of RTI.,2025-10-13T10:03:42.811193,False,"['study_design: RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['Outpatient or long-term care setting', 'Not original research']"
STUDY_0079,39346663,Assessing the impact of discontinuation of formulary prior authorization on antibiotic prescribing.,2025-10-13T10:03:42.811351,False,"['study_design: No RCT or ITS design identified', 'population: Not hospital/acute care setting', 'intervention: Stewardship intervention identified', 'outcomes: No relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'population: Not hospital/acute care setting', 'outcomes: No relevant outcomes identified']"
STUDY_0080,40462787,Rapid Identification of Neonatal Sepsis Pathogens Using MALDI-TOF MS: Bacteriological Profile and Antimicrobial Susceptibility Patterns in a North Indian Tertiary Care Hospital.,2025-10-13T10:03:42.811502,False,"['study_design: No RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Pediatric population', 'Outpatient or long-term care setting']"
STUDY_0081,16813983,Antimicrobial stewardship.,2025-10-13T10:03:42.812413,False,"['study_design: RCT or ITS design identified', 'population: Hospital setting (assuming adult population)', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']",['Outpatient or long-term care setting']
STUDY_0082,31139628,Adjunctive Nebulized Antibiotics: What Is Their Place in ICU Infections?,2025-10-13T10:03:42.812712,False,"['study_design: No RCT or ITS design identified', 'population: Hospital adult population identified', 'intervention: Stewardship intervention identified', 'outcomes: Relevant outcomes identified']","['study_design: No RCT or ITS design identified', 'Outpatient or long-term care setting', 'Not original research']"
