PMID: 39068060
OUTCOME_HBA1C_ARM2_BASELINE_SD: 0.8
OUTCOME_HBA1C_ARM2_CHANGE_MEAN: 0.0
OUTCOME_HBA1C_ARM2_CHANGE_SD: 0.8
OUTCOME_HBA1C_ARM2_MD: Reference

OUTCOME_WEIGHT_CHANGE_TIMEPOINT_WEEKS: 24

OUTCOME_WEIGHT_ARM1_BASELINE_MEAN: 71.2
OUTCOME_WEIGHT_ARM1_BASELINE_SD: 12.1
OUTCOME_WEIGHT_ARM1_CHANGE_MEAN: 1.2
OUTCOME_WEIGHT_ARM1_CHANGE_SD: 2.8
OUTCOME_WEIGHT_ARM1_MD: "+1.2 kg vs placebo (95% CI 0.5-1.9)"
OUTCOME_WEIGHT_ARM2_BASELINE_MEAN: 70.5
OUTCOME_WEIGHT_ARM2_BASELINE_SD: 11.8
OUTCOME_WEIGHT_ARM2_CHANGE_MEAN: -0.1
OUTCOME_WEIGHT_ARM2_CHANGE_SD: 2.5
OUTCOME_WEIGHT_ARM2_MD: Reference

OUTCOME_MI_ARM1_EVENTS: 0
OUTCOME_MI_ARM2_EVENTS: 0

OUTCOME_STROKE_ARM1_EVENTS: 0
OUTCOME_STROKE_ARM2_EVENTS: 0

OUTCOME_CV_DEATH_ARM1_EVENTS: 0
OUTCOME_CV_DEATH_ARM2_EVENTS: 0

OUTCOME_HF_HOSP_ARM1_EVENTS: 0
OUTCOME_HF_HOSP_ARM2_EVENTS: 0

OUTCOME_ALL_CAUSE_MORTALITY_ARM1_EVENTS: 0
OUTCOME_ALL_CAUSE_MORTALITY_ARM2_EVENTS: 0

MODERATOR_ASCVD_WITH_ARM1_N: 14
MODERATOR_ASCVD_WITH_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITH_ARM2_N: 14
MODERATOR_ASCVD_WITH_ARM2_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM1_N: 100
MODERATOR_ASCVD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM2_N: 98
MODERATOR_ASCVD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_CKD_WITH_ARM1_N: 17
MODERATOR_CKD_WITH_ARM1_EFFECT: NR
MODERATOR_CKD_WITH_ARM2_N: 17
MODERATOR_CKD_WITH_ARM2_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM1_N: 97
MODERATOR_CKD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM2_N: 95
MODERATOR_CKD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_BMI_BELOW30_ARM1_N: NR
MODERATOR_BMI_BELOW30_ARM1_EFFECT: NR
MODERATOR_BMI_BELOW30_ARM2_N: NR
MODERATOR_BMI_BELOW30_ARM2_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM1_N: NR
MODERATOR_BMI_ABOVE30_ARM1_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM2_N: NR
MODERATOR_BMI_ABOVE30_ARM2_EFFECT: NR

RISK_OF_BIAS_RANDOM_SEQUENCE: Low
RISK_OF_BIAS_ALLOCATION_CONCEALMENT: Low
RISK_OF_BIAS_BLINDING_PARTICIPANTS: Low
RISK_OF_BIAS_BLINDING_PERSONNEL: Low
RISK_OF_BIAS_BLINDING_OUTCOME: Low
RISK_OF_BIAS_INCOMPLETE_DATA: Low
RISK_OF_BIAS_SELECTIVE_REPORTING: Low
RISK_OF_BIAS_OTHER: Low
RISK_OF_BIAS_OVERALL: Low

EXTRACTOR_PRIMARY: AI Assistant
EXTRACTOR_PRIMARY_DATE: 2025-10-12
EXTRACTOR_SECONDARY: AI Assistant
EXTRACTOR_SECONDARY_DATE: 2025-10-12
EXTRACTION_CONFIDENCE: High
EXTRACTION_UNCERTAINTIES: "Limited CV events due to short follow-up"
EXTRACTION_DISCREPANCIES: None
EXTRACTION_RESOLUTION: NA
EXTRACTION_NOTES: "Important triple therapy study showing pioglitazone add-on effects to SGLT2i + metformin"

STUDY_ID: 2
NCT_ID: NCT04564391
TITLE: Efficacy and Safety of Pioglitazone Add-on in Patients with Type 2 Diabetes Mellitus Inadequately Controlled with Metformin and Dapagliflozin
AUTHORS: Cho YK, Kim KS, Lee BW, Hong JH, Yu JM, Lim S, Kim YA, Lee CB, Kim SS, Kwak SH, Lee WJ
JOURNAL: Clin Ther
PUBLICATION_YEAR: 2024
STUDY_DESIGN: RCT
PHASE: Phase 4
COUNTRY: South Korea
MULTICENTER: 1
SAMPLE_SIZE: 226
FOLLOW_UP_MONTHS: 6
FUNDING_SOURCE: NR
REGISTRATION: NCT04564391
FULL_TEXT_AVAILABLE: 1
INCLUSION_CRITERIA: T2D inadequately controlled with metformin and dapagliflozin
EXCLUSION_CRITERIA: Type 1 diabetes, contraindications to pioglitazone, heart failure NYHA III-IV
CREATED_DATE: 2025-10-12 18:07:07
LAST_UPDATED: 2025-10-12 18:07:07
