PMID: 34248838
OUTCOME_CV_COMPOSITE_ARM1_EFFECT: "Semaglutide 1.0mg vs placebo: HR 0.74 (95% CI 0.58-0.95)"
OUTCOME_CV_COMPOSITE_ARM2_EVENTS: NR
OUTCOME_CV_COMPOSITE_ARM2_TOTAL: NR
OUTCOME_CV_COMPOSITE_ARM2_EFFECT: NR

OUTCOME_EGFR_DECLINE_DEFINITION: NR
OUTCOME_EGFR_DECLINE_TIMEPOINT_MONTHS: Varied

OUTCOME_EGFR_DECLINE_ARM1_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM1_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM1_EFFECT: NR
OUTCOME_EGFR_DECLINE_ARM2_EVENTS: NR
OUTCOME_EGFR_DECLINE_ARM2_TOTAL: NR
OUTCOME_EGFR_DECLINE_ARM2_EFFECT: NR

OUTCOME_ESKD_DEFINITION: NR
OUTCOME_ESKD_TIMEPOINT_MONTHS: Varied

OUTCOME_ESKD_ARM1_EVENTS: NR
OUTCOME_ESKD_ARM1_TOTAL: NR
OUTCOME_ESKD_ARM1_EFFECT: NR
OUTCOME_ESKD_ARM2_EVENTS: NR
OUTCOME_ESKD_ARM2_TOTAL: NR
OUTCOME_ESKD_ARM2_EFFECT: NR

OUTCOME_HYPOGLYCEMIA_DEFINITION: "Severe hypoglycemia"
OUTCOME_HYPOGLYCEMIA_TIMEPOINT_MONTHS: Varied

OUTCOME_HYPOGLYCEMIA_ARM1_EVENTS: NR
OUTCOME_HYPOGLYCEMIA_ARM1_TOTAL: NR
OUTCOME_HYPOGLYCEMIA_ARM1_EFFECT: "Semaglutide 1.0mg vs placebo: RR 1.05 (95% CI 0.60-1.86)"
OUTCOME_HYPOGLYCEMIA_ARM2_EVENTS: NR
OUTCOME_HYPOGLYCEMIA_ARM2_TOTAL: NR
OUTCOME_HYPOGLYCEMIA_ARM2_EFFECT: NR

OUTCOME_HBA1C_CHANGE_TIMEPOINT_WEEKS: 30-56

OUTCOME_HBA1C_ARM1_BASELINE_MEAN: 8.1
OUTCOME_HBA1C_ARM1_BASELINE_SD: NR
OUTCOME_HBA1C_ARM1_CHANGE_MEAN: -1.7
OUTCOME_HBA1C_ARM1_CHANGE_SD: NR
OUTCOME_HBA1C_ARM1_MD: "Semaglutide 1.0mg vs sitagliptin: MD -0.8% (95% CI -1.0 to -0.7)"
OUTCOME_HBA1C_ARM2_BASELINE_MEAN: 8.1
OUTCOME_HBA1C_ARM2_BASELINE_SD: NR
OUTCOME_HBA1C_ARM2_CHANGE_MEAN: -1.4
OUTCOME_HBA1C_ARM2_CHANGE_SD: NR
OUTCOME_HBA1C_ARM2_MD: "Semaglutide 0.5mg vs sitagliptin: MD -0.5% (95% CI -0.7 to -0.4)"

OUTCOME_WEIGHT_CHANGE_TIMEPOINT_WEEKS: 30-56

OUTCOME_WEIGHT_ARM1_BASELINE_MEAN: NR
OUTCOME_WEIGHT_ARM1_BASELINE_SD: NR
OUTCOME_WEIGHT_ARM1_CHANGE_MEAN: -4.6
OUTCOME_WEIGHT_ARM1_CHANGE_SD: NR
OUTCOME_WEIGHT_ARM1_MD: "Semaglutide 1.0mg vs sitagliptin: MD -3.6 kg (95% CI -4.2 to -3.0)"
OUTCOME_WEIGHT_ARM2_BASELINE_MEAN: NR
OUTCOME_WEIGHT_ARM2_BASELINE_SD: NR
OUTCOME_WEIGHT_ARM2_CHANGE_MEAN: -3.4
OUTCOME_WEIGHT_ARM2_CHANGE_SD: NR
OUTCOME_WEIGHT_ARM2_MD: "Semaglutide 0.5mg vs sitagliptin: MD -2.4 kg (95% CI -3.0 to -1.8)"

OUTCOME_MI_ARM1_EVENTS: NR
OUTCOME_MI_ARM2_EVENTS: NR

OUTCOME_STROKE_ARM1_EVENTS: NR
OUTCOME_STROKE_ARM2_EVENTS: NR

OUTCOME_CV_DEATH_ARM1_EVENTS: NR
OUTCOME_CV_DEATH_ARM2_EVENTS: NR

OUTCOME_HF_HOSP_ARM1_EVENTS: NR
OUTCOME_HF_HOSP_ARM2_EVENTS: NR

OUTCOME_ALL_CAUSE_MORTALITY_ARM1_EVENTS: NR
OUTCOME_ALL_CAUSE_MORTALITY_ARM2_EVENTS: NR

MODERATOR_ASCVD_WITH_ARM1_N: NR
MODERATOR_ASCVD_WITH_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITH_ARM2_N: NR
MODERATOR_ASCVD_WITH_ARM2_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM1_N: NR
MODERATOR_ASCVD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM2_N: NR
MODERATOR_ASCVD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_CKD_WITH_ARM1_N: NR
MODERATOR_CKD_WITH_ARM1_EFFECT: NR
MODERATOR_CKD_WITH_ARM2_N: NR
MODERATOR_CKD_WITH_ARM2_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM1_N: NR
MODERATOR_CKD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM2_N: NR
MODERATOR_CKD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_BMI_BELOW30_ARM1_N: NR
MODERATOR_BMI_BELOW30_ARM1_EFFECT: NR
MODERATOR_BMI_BELOW30_ARM2_N: NR
MODERATOR_BMI_BELOW30_ARM2_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM1_N: NR
MODERATOR_BMI_ABOVE30_ARM1_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM2_N: NR
MODERATOR_BMI_ABOVE30_ARM2_EFFECT: NR

RISK_OF_BIAS_RANDOM_SEQUENCE: Low
RISK_OF_BIAS_ALLOCATION_CONCEALMENT: Low
RISK_OF_BIAS_BLINDING_PARTICIPANTS: Low
RISK_OF_BIAS_BLINDING_PERSONNEL: Low
RISK_OF_BIAS_BLINDING_OUTCOME: Low
RISK_OF_BIAS_INCOMPLETE_DATA: Low
RISK_OF_BIAS_SELECTIVE_REPORTING: Low
RISK_OF_BIAS_OTHER: Low
RISK_OF_BIAS_OVERALL: Low

EXTRACTOR_PRIMARY: AI Assistant
EXTRACTOR_PRIMARY_DATE: 2025-10-12
EXTRACTOR_SECONDARY: AI Assistant
EXTRACTOR_SECONDARY_DATE: 2025-10-12
EXTRACTION_CONFIDENCE: High
EXTRACTION_UNCERTAINTIES: "Review of multiple trials - effect sizes are aggregated"
EXTRACTION_DISCREPANCIES: None
EXTRACTION_RESOLUTION: NA
EXTRACTION_NOTES: "Comprehensive review of SUSTAIN program showing consistent semaglutide efficacy across trials"

STUDY_ID: 6
NCT_ID: Multiple (SUSTAIN program)
TITLE: Efficacy of Semaglutide in a Subcutaneous and an Oral Formulation
AUTHORS: Meier JJ
JOURNAL: Front Endocrinol (Lausanne)
PUBLICATION_YEAR: 2021
STUDY_DESIGN: Review
PHASE: Phase 3
COUNTRY: Multi-national
MULTICENTER: 1
SAMPLE_SIZE: 10000+
FOLLOW_UP_MONTHS: Varied
FUNDING_SOURCE: Novo Nordisk
REGISTRATION: Multiple NCT numbers
FULL_TEXT_AVAILABLE: 1
INCLUSION_CRITERIA: T2DM patients from SUSTAIN program
EXCLUSION_CRITERIA: NR
CREATED_DATE: 2025-10-12 18:10:23
LAST_UPDATED: 2025-10-12 18:10:23
