PMID: 33074557
MODERATOR_BMI_ABOVE30_ARM1_N: NR
MODERATOR_BMI_ABOVE30_ARM1_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM2_N: NR
MODERATOR_BMI_ABOVE30_ARM2_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM3_N: NR
MODERATOR_BMI_ABOVE30_ARM3_EFFECT: NR

RISK_OF_BIAS_RANDOM_SEQUENCE: Low
RISK_OF_BIAS_ALLOCATION_CONCEALMENT: Low
RISK_OF_BIAS_BLINDING_PARTICIPANTS: Low
RISK_OF_BIAS_BLINDING_PERSONNEL: Low
RISK_OF_BIAS_BLINDING_OUTCOME: Low
RISK_OF_BIAS_INCOMPLETE_DATA: Low
RISK_OF_BIAS_SELECTIVE_REPORTING: Low
RISK_OF_BIAS_OTHER: Low
RISK_OF_BIAS_OVERALL: Low

EXTRACTOR_PRIMARY: AI Assistant
EXTRACTOR_PRIMARY_DATE: 2025-10-12
EXTRACTOR_SECONDARY: AI Assistant
EXTRACTOR_SECONDARY_DATE: 2025-10-12
EXTRACTION_CONFIDENCE: High
EXTRACTION_UNCERTAINTIES: "Limited CV events due to short follow-up duration"
EXTRACTION_DISCREPANCIES: None
EXTRACTION_RESOLUTION: NA
EXTRACTION_NOTES: "Large head-to-head trial showing superior glycemic and weight effects of semaglutide vs sitagliptin"

STUDY_ID: 3
NCT_ID: NCT03150108
TITLE: Efficacy and safety of once-weekly semaglutide versus once-daily sitagliptin as add-on to metformin in patients with type 2 diabetes in SUSTAIN China
AUTHORS: Ji L, Dong X, Li Y, Li Y, Lim S, Liu M, Ning Z, Rasmussen S, Skjøth TV, Yuan G, Eliaschewitz FG
JOURNAL: Diabetes Obes Metab
PUBLICATION_YEAR: 2021
STUDY_DESIGN: RCT
PHASE: Phase 3a
COUNTRY: China
MULTICENTER: 1
SAMPLE_SIZE: 868
FOLLOW_UP_MONTHS: 7.5
FUNDING_SOURCE: Novo Nordisk
REGISTRATION: NCT03150108
FULL_TEXT_AVAILABLE: 1
INCLUSION_CRITERIA: T2D inadequately controlled with metformin
EXCLUSION_CRITERIA: Type 1 diabetes, pancreatitis, medullary thyroid carcinoma
CREATED_DATE: 2025-10-12 18:08:37
LAST_UPDATED: 2025-10-12 18:08:37
