PMID: 32819262
OUTCOME_WEIGHT_ARM2_CHANGE_MEAN: 0.0
OUTCOME_WEIGHT_ARM2_CHANGE_SD: NR
OUTCOME_WEIGHT_ARM2_MD: Reference

OUTCOME_MI_ARM1_EVENTS: NR
OUTCOME_MI_ARM2_EVENTS: NR

OUTCOME_STROKE_ARM1_EVENTS: NR
OUTCOME_STROKE_ARM2_EVENTS: NR

OUTCOME_CV_DEATH_ARM1_EVENTS: NR
OUTCOME_CV_DEATH_ARM2_EVENTS: NR

OUTCOME_HF_HOSP_ARM1_EVENTS: NR
OUTCOME_HF_HOSP_ARM2_EVENTS: NR

OUTCOME_ALL_CAUSE_MORTALITY_ARM1_EVENTS: NR
OUTCOME_ALL_CAUSE_MORTALITY_ARM2_EVENTS: NR

MODERATOR_ASCVD_WITH_ARM1_N: NR
MODERATOR_ASCVD_WITH_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITH_ARM2_N: NR
MODERATOR_ASCVD_WITH_ARM2_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM1_N: NR
MODERATOR_ASCVD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_ASCVD_WITHOUT_ARM2_N: NR
MODERATOR_ASCVD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_CKD_WITH_ARM1_N: NR
MODERATOR_CKD_WITH_ARM1_EFFECT: NR
MODERATOR_CKD_WITH_ARM2_N: NR
MODERATOR_CKD_WITH_ARM2_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM1_N: NR
MODERATOR_CKD_WITHOUT_ARM1_EFFECT: NR
MODERATOR_CKD_WITHOUT_ARM2_N: NR
MODERATOR_CKD_WITHOUT_ARM2_EFFECT: NR

MODERATOR_BMI_BELOW30_ARM1_N: NR
MODERATOR_BMI_BELOW30_ARM1_EFFECT: NR
MODERATOR_BMI_BELOW30_ARM2_N: NR
MODERATOR_BMI_BELOW30_ARM2_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM1_N: NR
MODERATOR_BMI_ABOVE30_ARM1_EFFECT: NR
MODERATOR_BMI_ABOVE30_ARM2_N: NR
MODERATOR_BMI_ABOVE30_ARM2_EFFECT: NR

RISK_OF_BIAS_RANDOM_SEQUENCE: Unclear
RISK_OF_BIAS_ALLOCATION_CONCEALMENT: Unclear
RISK_OF_BIAS_BLINDING_PARTICIPANTS: Unclear
RISK_OF_BIAS_BLINDING_PERSONNEL: Unclear
RISK_OF_BIAS_BLINDING_OUTCOME: Unclear
RISK_OF_BIAS_INCOMPLETE_DATA: Low
RISK_OF_BIAS_SELECTIVE_REPORTING: Low
RISK_OF_BIAS_OTHER: Low
RISK_OF_BIAS_OVERALL: Low

EXTRACTOR_PRIMARY: AI Assistant
EXTRACTOR_PRIMARY_DATE: 2025-10-12
EXTRACTOR_SECONDARY: AI Assistant
EXTRACTOR_SECONDARY_DATE: 2025-10-12
EXTRACTION_CONFIDENCE: High
EXTRACTION_UNCERTAINTIES: "Review of multiple CVOTs - aggregated effect sizes"
EXTRACTION_DISCREPANCIES: None
EXTRACTION_RESOLUTION: NA
EXTRACTION_NOTES: "Comprehensive safety review showing DPP-4i cardiovascular neutrality"

STUDY_ID: 7
NCT_ID: Multiple (CVOTs)
TITLE: Efficacy and Cardiovascular Safety of DPP-4 Inhibitors
AUTHORS: Subrahmanyan NA, Koshy RM, Jacob K, Pappachan JM
JOURNAL: Curr Drug Saf
PUBLICATION_YEAR: 2021
STUDY_DESIGN: Review
PHASE: NA
COUNTRY: Multi-national
MULTICENTER: 1
SAMPLE_SIZE: NR
FOLLOW_UP_MONTHS: Varied
FUNDING_SOURCE: NR
REGISTRATION: NR
FULL_TEXT_AVAILABLE: 1
INCLUSION_CRITERIA: T2DM patients with high CV risk
EXCLUSION_CRITERIA: Type 1 diabetes
CREATED_DATE: 2025-10-12 18:11:03
LAST_UPDATED: 2025-10-12 18:11:03
