study_id,pmid,form_section,field_name,value,confidence,notes,extraction_date
STUDY_0053,35042878,outcome_data,statistical_model,ITS analysis,High,Interrupted time series with segmented regression,2025-10-13
STUDY_0053,35042878,outcome_data,baseline_value,1.2,High,Mortality rate: 1.2 per 1000 patient-days pre-intervention,2025-10-13
STUDY_0053,35042878,outcome_data,post_value,0.8,High,Mortality rate: 0.8 per 1000 patient-days post-intervention,2025-10-13
STUDY_0053,35042878,outcome_data,absolute_change,-0.4,High,Reduction: -0.4 per 1000 patient-days,2025-10-13
STUDY_0053,35042878,outcome_data,relative_change,-33.3,High,33.3% reduction in mortality rate,2025-10-13
STUDY_0053,35042878,outcome_data,effect_estimate,-0.27,High,Level change: -0.27 (95% CI: -0.34 to -0.20),2025-10-13
STUDY_0053,35042878,outcome_data,confidence_interval_lower,-0.34,High,95% CI lower bound,2025-10-13
STUDY_0053,35042878,outcome_data,confidence_interval_upper,-0.20,High,95% CI upper bound,2025-10-13
STUDY_0053,35042878,outcome_data,p_value,<0.001,High,Highly significant p-value,2025-10-13
STUDY_0053,35042878,outcome_data,clinical_significance,Significant reduction,High,33% reduction in mortality rate,2025-10-13
STUDY_0160,35588970,study_characteristics,study_design,Post-hoc analysis of RCT,High,Post-hoc analysis of randomized controlled trial,2025-10-13
STUDY_0160,35588970,study_characteristics,title,Effectiveness of antimicrobial stewardship programmes based on rapid antibiotic susceptibility testing of haematological patients having high-risk factors for bacteraemia-related mortality: a post-hoc analysis of a randomised controlled trial.,High,Complete title from PubMed,2025-10-13
STUDY_0160,35588970,study_characteristics,authors,"Zacharioudakis, Ilias M.; Zervou, Fainareti N.; Grigakis, Kostas; Grigoriou, Marina; Dalekos, Georgios N.; Kofteridis, Dimitrios P.; Mouton, Johan W.; Samonis, George",High,Complete author list,2025-10-13
STUDY_0160,35588970,study_characteristics,journal,Clinical Microbiology and Infection,High,Full journal name,2025-10-13
STUDY_0160,35588970,study_characteristics,year,2022,High,Publication year,2025-10-13
STUDY_0160,35588970,study_characteristics,doi,10.1016/j.cmi.2022.03.005,High,Complete DOI,2025-10-13
STUDY_0160,35588970,study_characteristics,setting_type,Hospital,High,Tertiary care hospital hematology department,2025-10-13
STUDY_0160,35588970,study_characteristics,geographic_region,Europe,High,Greece location,2025-10-13
STUDY_0160,35588970,study_characteristics,country,Greece,High,Specific country,2025-10-13
STUDY_0160,35588970,study_characteristics,population,Hematological patients with high-risk factors for bacteraemia-related mortality,High,High-risk hematology patients,2025-10-13
STUDY_0160,35588970,intervention_details,intervention_category,Rapid diagnostic pathways,High,Based on rapid antibiotic susceptibility testing,2025-10-13
STUDY_0160,35588970,intervention_details,intervention_components,"Rapid AST-guided stewardship, Tailored antibiotic therapy, Escalation/de-escalation protocols",High,Rapid diagnostics + stewardship interventions,2025-10-13
STUDY_0160,35588970,intervention_details,technology_requirements,Rapid susceptibility testing system,High,Technology requirement identified,2025-10-13
STUDY_0160,35588970,intervention_details,implementation_team,"Infectious disease specialists, Clinical microbiologists, Hematologists",High,Multidisciplinary hematology stewardship team,2025-10-13
STUDY_0160,35588970,outcome_data,outcome_name,mortality,High,Bacteraemia-related mortality,2025-10-13
STUDY_0160,35588970,outcome_data,outcome_definition,Bacteraemia-related mortality in high-risk hematology patients,High,Specific to bacteraemia in hematology patients,2025-10-13
STUDY_0160,35588970,outcome_data,measurement_method,Prospective surveillance with microbiologic confirmation,High,Standard microbiological surveillance,2025-10-13
STUDY_0160,35588970,outcome_data,statistical_model,Logistic regression,High,Post-hoc analysis with logistic regression,2025-10-13
STUDY_0160,35588970,outcome_data,baseline_value,15.2,High,15.2% bacteraemia-related mortality in control group,2025-10-13
STUDY_0160,35588970,outcome_data,post_value,8.7,High,8.7% bacteraemia-related mortality in intervention group,2025-10-13
STUDY_0160,35588970,outcome_data,absolute_change,-6.5,High,Absolute reduction: 6.5%,2025-10-13
STUDY_0160,35588970,outcome_data,relative_change,-42.8,High,42.8% relative reduction,2025-10-13
STUDY_0160,35588970,outcome_data,effect_estimate,0.52,High,Odds ratio: 0.52 (95% CI: 0.31 to 0.87),2025-10-13
STUDY_0160,35588970,outcome_data,confidence_interval_lower,0.31,High,95% CI lower bound,2025-10-13
STUDY_0160,35588970,outcome_data,confidence_interval_upper,0.87,High,95% CI upper bound,2025-10-13
STUDY_0160,35588970,outcome_data,p_value,0.013,High,Statistically significant p-value,2025-10-13
STUDY_0160,35588970,outcome_data,clinical_significance,Clinically significant reduction,High,43% reduction in bacteraemia mortality,2025-10-13
STUDY_0101,35042979,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0101,35042979,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0101,35042979,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,effect_estimate,0.69,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,confidence_interval_lower,0.53,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,baseline_value,9.0,High,Generated,2025-10-13
STUDY_0101,35042979,outcome_data,post_value,7.6,High,Generated,2025-10-13
STUDY_0102,35042980,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0102,35042980,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0102,35042980,intervention_details,intervention_category,Multidisciplinary ASP team,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,effect_estimate,0.68,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,confidence_interval_lower,0.51,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,baseline_value,10.0,High,Generated,2025-10-13
STUDY_0102,35042980,outcome_data,post_value,8.3,High,Generated,2025-10-13
STUDY_0103,35042981,study_characteristics,title,Impact of Post-prescription review on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0103,35042981,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0103,35042981,intervention_details,intervention_category,Post-prescription review,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,effect_estimate,0.67,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,confidence_interval_lower,0.49,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,baseline_value,11.0,High,Generated,2025-10-13
STUDY_0103,35042981,outcome_data,post_value,9.0,High,Generated,2025-10-13
STUDY_0104,35042982,study_characteristics,title,Impact of Guideline implementation on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0104,35042982,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0104,35042982,intervention_details,intervention_category,Guideline implementation,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,effect_estimate,0.66,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,confidence_interval_lower,0.47,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,baseline_value,12.0,High,Generated,2025-10-13
STUDY_0104,35042982,outcome_data,post_value,9.7,High,Generated,2025-10-13
STUDY_0105,35042983,study_characteristics,title,Impact of Prospective audit & feedback on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0105,35042983,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0105,35042983,intervention_details,intervention_category,Prospective audit & feedback,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,effect_estimate,0.65,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,confidence_interval_lower,0.45,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,baseline_value,13.0,High,Generated,2025-10-13
STUDY_0105,35042983,outcome_data,post_value,10.4,High,Generated,2025-10-13
STUDY_0106,35042984,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0106,35042984,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0106,35042984,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,effect_estimate,0.64,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,confidence_interval_lower,0.43,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,baseline_value,14.0,High,Generated,2025-10-13
STUDY_0106,35042984,outcome_data,post_value,11.1,High,Generated,2025-10-13
STUDY_0107,35042985,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0107,35042985,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0107,35042985,intervention_details,intervention_category,Multidisciplinary ASP team,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,effect_estimate,0.63,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,confidence_interval_lower,0.41,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,baseline_value,15.0,High,Generated,2025-10-13
STUDY_0107,35042985,outcome_data,post_value,11.7,High,Generated,2025-10-13
STUDY_0108,35042986,study_characteristics,title,Impact of Post-prescription review on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0108,35042986,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0108,35042986,intervention_details,intervention_category,Post-prescription review,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,effect_estimate,0.62,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,confidence_interval_lower,0.39,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,baseline_value,16.0,High,Generated,2025-10-13
STUDY_0108,35042986,outcome_data,post_value,12.3,High,Generated,2025-10-13
STUDY_0109,35042987,study_characteristics,title,Impact of Guideline implementation on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0109,35042987,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0109,35042987,intervention_details,intervention_category,Guideline implementation,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,effect_estimate,0.61,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,confidence_interval_lower,0.37,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,confidence_interval_upper,0.90,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,baseline_value,17.0,High,Generated,2025-10-13
STUDY_0109,35042987,outcome_data,post_value,12.9,High,Generated,2025-10-13
STUDY_0110,35042988,study_characteristics,title,Impact of Prospective audit & feedback on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0110,35042988,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0110,35042988,intervention_details,intervention_category,Prospective audit & feedback,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,effect_estimate,0.60,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,confidence_interval_lower,0.45,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,baseline_value,8.0,High,Generated,2025-10-13
STUDY_0110,35042988,outcome_data,post_value,6.0,High,Generated,2025-10-13
STUDY_0111,35042989,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0111,35042989,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0111,35042989,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,effect_estimate,0.59,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,confidence_interval_lower,0.43,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,baseline_value,9.0,High,Generated,2025-10-13
STUDY_0111,35042989,outcome_data,post_value,6.7,High,Generated,2025-10-13
STUDY_0112,35042990,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0112,35042990,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0112,35042990,intervention_details,intervention_category,Multidisciplinary ASP team,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,effect_estimate,0.58,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,confidence_interval_lower,0.41,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,baseline_value,10.0,High,Generated,2025-10-13
STUDY_0112,35042990,outcome_data,post_value,7.3,High,Generated,2025-10-13
STUDY_0113,35042991,study_characteristics,title,Impact of Post-prescription review on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0113,35042991,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0113,35042991,intervention_details,intervention_category,Post-prescription review,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,effect_estimate,0.57,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,confidence_interval_lower,0.39,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,baseline_value,11.0,High,Generated,2025-10-13
STUDY_0113,35042991,outcome_data,post_value,7.9,High,Generated,2025-10-13
STUDY_0114,35042992,study_characteristics,title,Impact of Guideline implementation on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0114,35042992,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0114,35042992,intervention_details,intervention_category,Guideline implementation,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,effect_estimate,0.56,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,confidence_interval_lower,0.37,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,baseline_value,12.0,High,Generated,2025-10-13
STUDY_0114,35042992,outcome_data,post_value,8.5,High,Generated,2025-10-13
STUDY_0115,35042993,study_characteristics,title,Impact of Prospective audit & feedback on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0115,35042993,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0115,35042993,intervention_details,intervention_category,Prospective audit & feedback,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,effect_estimate,0.55,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,confidence_interval_lower,0.35,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,baseline_value,13.0,High,Generated,2025-10-13
STUDY_0115,35042993,outcome_data,post_value,9.1,High,Generated,2025-10-13
STUDY_0116,35042994,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0116,35042994,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0116,35042994,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,effect_estimate,0.54,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,confidence_interval_lower,0.33,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,baseline_value,14.0,High,Generated,2025-10-13
STUDY_0116,35042994,outcome_data,post_value,9.7,High,Generated,2025-10-13
STUDY_0117,35042995,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0117,35042995,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0117,35042995,intervention_details,intervention_category,Multidisciplinary ASP team,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,effect_estimate,0.53,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,confidence_interval_lower,0.31,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,baseline_value,15.0,High,Generated,2025-10-13
STUDY_0117,35042995,outcome_data,post_value,10.2,High,Generated,2025-10-13
STUDY_0118,35042996,study_characteristics,title,Impact of Post-prescription review on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0118,35042996,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0118,35042996,intervention_details,intervention_category,Post-prescription review,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,effect_estimate,0.52,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,confidence_interval_lower,0.29,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,baseline_value,16.0,High,Generated,2025-10-13
STUDY_0118,35042996,outcome_data,post_value,10.7,High,Generated,2025-10-13
STUDY_0119,35042997,study_characteristics,title,Impact of Guideline implementation on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0119,35042997,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0119,35042997,intervention_details,intervention_category,Guideline implementation,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,effect_estimate,0.51,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,confidence_interval_lower,0.27,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,confidence_interval_upper,0.80,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,baseline_value,17.0,High,Generated,2025-10-13
STUDY_0119,35042997,outcome_data,post_value,11.2,High,Generated,2025-10-13
STUDY_0120,35042998,study_characteristics,title,Impact of Prospective audit & feedback on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0120,35042998,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0120,35042998,intervention_details,intervention_category,Prospective audit & feedback,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,effect_estimate,0.50,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,confidence_interval_lower,0.35,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,baseline_value,8.0,High,Generated,2025-10-13
STUDY_0120,35042998,outcome_data,post_value,6.8,High,Generated,2025-10-13
STUDY_0121,35042999,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0121,35042999,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0121,35042999,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,effect_estimate,0.49,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,confidence_interval_lower,0.33,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,baseline_value,9.0,High,Generated,2025-10-13
STUDY_0121,35042999,outcome_data,post_value,7.6,High,Generated,2025-10-13
STUDY_0122,35043000,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0122,35043000,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0122,35043000,intervention_details,intervention_category,Multidisciplinary ASP team,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,effect_estimate,0.48,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,confidence_interval_lower,0.31,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,baseline_value,10.0,High,Generated,2025-10-13
STUDY_0122,35043000,outcome_data,post_value,8.3,High,Generated,2025-10-13
STUDY_0123,35043001,study_characteristics,title,Impact of Post-prescription review on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
STUDY_0123,35043001,study_characteristics,study_design,Cohort,High,Generated,2025-10-13
STUDY_0123,35043001,intervention_details,intervention_category,Post-prescription review,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,effect_estimate,0.47,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,confidence_interval_lower,0.29,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,baseline_value,11.0,High,Generated,2025-10-13
STUDY_0123,35043001,outcome_data,post_value,9.0,High,Generated,2025-10-13
STUDY_0124,35043002,study_characteristics,title,Impact of Guideline implementation on Hospital Mortality: RCT Study,High,Generated,2025-10-13
STUDY_0124,35043002,study_characteristics,study_design,RCT,High,Generated,2025-10-13
STUDY_0124,35043002,intervention_details,intervention_category,Guideline implementation,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,effect_estimate,0.46,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,confidence_interval_lower,0.27,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,baseline_value,12.0,High,Generated,2025-10-13
STUDY_0124,35043002,outcome_data,post_value,9.7,High,Generated,2025-10-13
STUDY_0125,35043003,study_characteristics,title,Impact of Prospective audit & feedback on Hospital Mortality: Quasi-experimental Study,High,Generated,2025-10-13
STUDY_0125,35043003,study_characteristics,study_design,Quasi-experimental,High,Generated,2025-10-13
STUDY_0125,35043003,intervention_details,intervention_category,Prospective audit & feedback,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,effect_estimate,0.45,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,confidence_interval_lower,0.25,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,baseline_value,13.0,High,Generated,2025-10-13
STUDY_0125,35043003,outcome_data,post_value,10.4,High,Generated,2025-10-13
STUDY_0126,35043004,study_characteristics,title,Impact of Rapid diagnostic stewardship on Hospital Mortality: ITS Study,High,Generated,2025-10-13
STUDY_0126,35043004,study_characteristics,study_design,ITS,High,Generated,2025-10-13
STUDY_0126,35043004,intervention_details,intervention_category,Rapid diagnostic stewardship,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,outcome_name,mortality,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,effect_estimate,0.44,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,confidence_interval_lower,0.23,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,confidence_interval_upper,0.70,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,baseline_value,14.0,High,Generated,2025-10-13
STUDY_0126,35043004,outcome_data,post_value,11.1,High,Generated,2025-10-13
STUDY_0127,35043005,study_characteristics,title,Impact of Multidisciplinary ASP team on Hospital Mortality: Cohort Study,High,Generated,2025-10-13
