study_id,pmid,assessment_type,domain,assessment,supporting_evidence,judgment,comments,assessor_initials,assessment_date,overall_rob_rating
STUDY_0113,35042991,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0114,35042992,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0114,35042992,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0115,35042993,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0115,35042993,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0116,35042994,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0116,35042994,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0117,35042995,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0117,35042995,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0118,35042996,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0118,35042996,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0119,35042997,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0119,35042997,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0120,35042998,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0120,35042998,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0121,35042999,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0121,35042999,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0122,35043000,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0122,35043000,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0123,35043001,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0123,35043001,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0124,35043002,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0124,35043002,RoB-2,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0125,35043003,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0125,35043003,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0126,35043004,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0126,35043004,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0127,35043005,ROBINS-I,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Outcome measurement,Low risk,Objective measures,Overall: ,Hospital mortality standardized,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Selective reporting,Low risk,All outcomes reported,Overall: ,Pre-specified outcome measures,AI,2025-10-13,
STUDY_0127,35043005,ROBINS-I,Overall bias,Low risk,Comprehensive methodology,Overall: ,Well-designed study,AI,2025-10-13,
STUDY_0128,35043006,RoB-2,Randomization process,Not applicable,Study design,Overall: High,Not applicable to non-RCT design,AI,2025-10-13,High
STUDY_0128,35043006,RoB-2,Baseline characteristics,Low risk,Adequate baseline measurement,Overall: ,Balanced groups,AI,2025-10-13,
STUDY_0128,35043006,RoB-2,Deviation from intervention,Low risk,Standardized protocol,Overall: ,ASP intervention consistently applied,AI,2025-10-13,
STUDY_0128,35043006,RoB-2,Missing outcome data,Low risk,Complete data,Overall: ,No missing mortality outcomes,AI,2025-10-13,
