study_id,pmid,mortality_definition,mortality_timepoint,mortality_results,cdi_definition,cdi_diagnostic_method,cdi_results,mdro_organisms,mdro_definition,mdro_results,consumption_measure,consumption_results,effect_measure,statistical_model,adjustment_variables
STUDY_0065,36716763,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0066,34635529,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0084,21679144,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0095,40547325,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0096,25011604,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0132,27385708,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0136,36830213,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Time series analysis,[]
STUDY_0144,28947463,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0145,38092304,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0146,38141837,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0160,35588970,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0172,35077523,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Not specified,[]
STUDY_0175,38752207,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Time series analysis,[]
STUDY_0176,38863389,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0182,33653766,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,['Age']
STUDY_0183,35178569,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Time series analysis,[]
STUDY_0184,35383069,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Time series analysis,[]
STUDY_0203,30283084,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0249,33677793,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0255,17082202,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0281,39732716,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0297,32893441,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Time series analysis,[]
STUDY_0314,32272171,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0333,32016346,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0349,38161969,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0382,33517926,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0403,29661158,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,['MRSA'],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0405,29514268,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0421,28927475,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,"['MRSA', 'ESBL-producing Enterobacteriaceae']",Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0426,36009945,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0457,27422026,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0460,36075750,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0468,37125081,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0486,36914995,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,['CRE'],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0551,26661392,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0612,39906215,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,['CRE'],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0649,40888899,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0656,31620836,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0697,40032196,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0741,35451671,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0745,33563619,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0784,34460904,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0786,39931585,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,['Age']
STUDY_0793,38372558,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0802,35578243,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Time series analysis,[]
STUDY_0803,27452782,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Not specified,[]
STUDY_0827,30786942,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0840,27887595,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0850,40982183,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0881,23743088,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0896,20673259,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0903,33232831,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_0963,28756579,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_0980,31692076,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,['Age']
STUDY_1045,36803370,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Risk ratio (RR),Time series analysis,[]
STUDY_1061,31202924,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1094,31650816,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1121,30732979,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1142,18319126,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_1151,30820545,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_1177,16415039,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1181,15367178,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1198,28159671,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_1317,40032084,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,[],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
STUDY_1452,34297040,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,['CRE'],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Not specified,Not specified,[]
STUDY_1516,40338678,Not specified,End of study period,Results not available from abstract,Laboratory confirmed,Not specified,Results not available from abstract,['CRE'],Laboratory confirmed resistant isolates,Results not available from abstract,Not specified,Results not available from abstract,Odds ratio (OR),Not specified,[]
