study_id,pmid,primary_intervention_category,intervention_components,intervention_development,implementation_team,training_methods,technology_requirements,personnel_requirements,frequency,duration_type,coverage,comparator_description,standard_practices
STUDY_0551,26661392,Education and guidelines,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0612,39906215,Rapid diagnostic pathways,['Rapid diagnostic testing'],Hybrid approach,"['Infectious diseases physician', 'Information technology specialist']",[],"Electronic health record integration, Computer hardware/software","FTE: 2 personnel (Infectious diseases physician, Information technology specialist)",Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0649,40888899,Combination interventions,[],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0656,31620836,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0697,40032196,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Specific wards only,Usual/standard care,[]
STUDY_0741,35451671,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0745,33563619,Combination interventions,[],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0784,34460904,Combination interventions,[],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0786,39931585,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0793,38372558,Combination interventions,['Electronic prescribing system'],Hybrid approach,[],[],"Electronic health record integration, Computer hardware/software",Not specified,Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0802,35578243,Prospective audit and feedback (PAF),['Regular review of prescriptions'],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0803,27452782,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0827,30786942,Combination interventions,['Rapid diagnostic testing'],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0840,27887595,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0850,40982183,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0881,23743088,Combination interventions,['Electronic prescribing system'],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0896,20673259,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0903,33232831,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_0963,28756579,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_0980,31692076,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1045,36803370,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1061,31202924,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1094,31650816,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1121,30732979,Combination interventions,[],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Specific wards only,Pre-intervention period or control group,[]
STUDY_1142,18319126,Combination interventions,[],Hybrid approach,[],[],Not specified,Not specified,Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1151,30820545,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1177,16415039,Computerized decision support (CDSS)/e-prescribing,['Electronic prescribing system'],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1181,15367178,Computerized decision support (CDSS)/e-prescribing,['Electronic prescribing system'],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1198,28159671,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1317,40032084,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1452,34297040,Combination interventions,['Rapid diagnostic testing'],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,Not specified,Pre-intervention period or control group,[]
STUDY_1516,40338678,Combination interventions,[],Hybrid approach,['Information technology specialist'],[],"Electronic health record integration, Computer hardware/software",FTE: 1 personnel (Information technology specialist),Not specified,Time-limited,All hospital wards,Pre-intervention period or control group,[]
