study_id,pmid,title,extraction_date,extractor,verification_status,journal,year,authors,doi,study_design,unit_randomization,study_duration_months,number_arms,setting_type,hospital_beds,geographic_region,study_population,sample_size,baseline_mrsa_rate,baseline_vre_rate,baseline_esbl_rate,baseline_cre_rate,baseline_cdi_rate,baseline_antibiotic_consumption,intervention_duration_months,training_provided,implementation_team,outcomes_measured,primary_outcomes,ethical_approval,clinical_trial_registration,funding_disclosure
STUDY_0160,35588970,Effectiveness of antimicrobial stewardship programmes based on rapid antibiotic susceptibility testing of haematological patients having high-risk factors for bacteraemia-related mortality: a post-hoc analysis of a randomised controlled trial.,2025-10-13T10:07:55.933360,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35588970,RCT,Individual patient,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mortality'],['mortality'],False,Not registered,False
STUDY_0172,35077523,Effects of infectious disease consultation and antimicrobial stewardship program at a Japanese cancer center: An interrupted time-series analysis.,2025-10-13T10:07:55.934344,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35077523,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Asia,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Infectious diseases physician,[],[],False,Not registered,False
STUDY_0175,38752207,"Time is running out. No excuses to delay implementation of antimicrobial stewardship programmes: impact, sustainability, resilience and efficiency through an interrupted time series analysis (2017-2022).",2025-10-13T10:07:55.935265,Automated System,Pending,Not specified,2022,Authors not extracted from abstract,38752207,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0176,38863389,Impact of an antimicrobial stewardship programme on antibiotic utilization and resistance burden in patients with acute leukaemia: an 11-year longitudinal cohort study using interrupted time-series analysis.,2025-10-13T10:07:55.936834,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,38863389,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Europe,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mdro'],['mdro'],False,Not registered,False
STUDY_0182,33653766,Multicentre stepped-wedge cluster randomised controlled trial of an antimicrobial stewardship programme in residential aged care: protocol for the START trial.,2025-10-13T10:07:55.938568,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,33653766,RCT,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0183,35178569,Impact of drug safety warnings and antimicrobial stewardship programme implementation on tigecycline prescribing: a prospective quasi-experimental interrupted time series analysis.,2025-10-13T10:07:55.940016,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35178569,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0184,35383069,Evaluating antibiotic stewardship and healthcare-associated infections surveillance assisted by computer: protocol for an interrupted time series study.,2025-10-13T10:07:55.941280,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35383069,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0203,30283084,Impact of an infectious diseases specialist-led antimicrobial stewardship programmes on antibiotic use and antimicrobial resistance in a large Korean hospital.,2025-10-13T10:07:55.942778,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,30283084,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Asia,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Infectious diseases physician,"['mdro', 'antibiotic_consumption']","['mdro', 'antibiotic_consumption']",False,Not registered,False
STUDY_0249,33677793,Short and long term impact of combining restrictive and enabling interventions to reduce aztreonam consumption in a community hospital.,2025-10-13T10:07:55.944274,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,33677793,Other,Hospital ward/unit,12.0,2,Community hospital,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0255,17082202,The potential role of computerized decision support systems to improve empirical antibiotic prescribing.,2025-10-13T10:07:55.946275,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,17082202,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,True
STUDY_0281,39732716,Swab Testing to Optimize Pneumonia treatment with empiric Vancomycin (STOP-Vanc): study protocol for a randomized controlled trial.,2025-10-13T10:07:55.947959,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,39732716,RCT,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0297,32893441,Impact of the multidisciplinary antimicrobial stewardship team intervention focusing on carbapenem de-escalation: A single-centre and interrupted time series analysis.,2025-10-13T10:07:55.949442,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,32893441,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0314,32272171,Enhanced antimicrobial stewardship based on rapid phenotypic antimicrobial susceptibility testing for bacteraemia in patients with haematological malignancies: a randomized controlled trial.,2025-10-13T10:07:55.951089,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,32272171,RCT,Individual patient,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0333,32016346,A behavioural approach to specifying interventions: what insights can be gained for the reporting and implementation of interventions to reduce antibiotic use in hospitals?,2025-10-13T10:07:55.952928,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,32016346,Other,Entire hospital,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0349,38161969,The use of routinely collected electronic prescribing data to benchmark intravenous antibiotic use between two tertiary paediatric haematology-oncology inpatient units: a retrospective study.,2025-10-13T10:07:55.954180,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,38161969,ITS,Hospital ward/unit,12.0,2,Tertiary care center,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0382,33517926,Association between a rapid diagnostic test to detect methicillin-resistant ,2025-10-13T10:07:55.955246,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,33517926,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],True,Not registered,False
STUDY_0403,29661158,Effect of an intervention targeting inappropriate continued empirical parenteral vancomycin use: a quasi-experimental study in a region of high MRSA prevalence.,2025-10-13T10:07:55.956245,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,29661158,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0405,29514268,Effects of primary care antimicrobial stewardship outreach on antibiotic use by general practice staff: pragmatic randomized controlled trial of the TARGET antibiotics workshop.,2025-10-13T10:07:55.957079,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,29514268,RCT,Hospital ward/unit,12.0,2,Community hospital,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,True,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0421,28927475,Impact of Discontinuing Contact Precautions for MRSA and ESBLE in an Intensive Care Unit: A Prospective Noninferiority Before and After Study.,2025-10-13T10:07:55.959333,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,28927475,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0426,36009945,Control of Healthcare-Associated Carbapenem-Resistant ,2025-10-13T10:07:55.960601,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36009945,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0457,27422026,Effectiveness of biomarker-based exclusion of ventilator-acquired pneumonia to reduce antibiotic use (VAPrapid-2): study protocol for a randomised controlled trial.,2025-10-13T10:07:55.961630,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,27422026,RCT,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0460,36075750,Impact of Respiratory Viral Panel Results on Piperacillin-Tazobactam Use in a Medical Intensive Care Unit: A Single-Center Retrospective Study.,2025-10-13T10:07:55.962560,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36075750,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0468,37125081,Estimating treatment effects for time-to-treatment antibiotic stewardship in sepsis.,2025-10-13T10:07:55.963296,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,37125081,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0486,36914995,Evaluating Methicillin-Resistant Staphylococcus aureus Polymerase Chain Reaction Nasal Screening as a Tool for Antimicrobial Stewardship.,2025-10-13T10:07:55.964047,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,36914995,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],True,Not registered,False
STUDY_0551,26661392,Effect of an antimicrobial stewardship bundle for patients with Clostridium difficile infection.,2025-10-13T10:07:55.965159,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,26661392,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,"['cdi', 'length_stay']",['cdi'],False,Not registered,False
STUDY_0612,39906215,Rapid diagnostic testing combined with an immediate infectious disease consultation increases the rate of septic intensive care unit patients on targeted antibiotic therapy.,2025-10-13T10:07:55.966238,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,39906215,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Infectious diseases physician,[],[],False,Not registered,False
STUDY_0649,40888899,Antibiotic therapy for severe bacterial infections.,2025-10-13T10:07:55.967388,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,40888899,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0656,31620836,The association of cardiovascular failure with treatment for ventilator-associated lower respiratory tract infection.,2025-10-13T10:07:55.968175,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,31620836,Other,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0697,40032196,Revisiting antimicrobial stewardship in the paediatric intensive care unit: insights from an unconventional approach.,2025-10-13T10:07:55.969060,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,40032196,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0741,35451671,Short- and long-term impact of a multifaceted approach targeting fluoroquinolone use in a community hospital: an interrupted time-series analysis.,2025-10-13T10:07:55.969779,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35451671,Other,Hospital ward/unit,12.0,2,Community hospital,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0745,33563619,Deimplementation strategy to reduce overtreatment of asymptomatic bacteriuria: a study protocol for a stepped-wedge cluster randomised trial.,2025-10-13T10:07:55.970453,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,33563619,Cluster-RCT,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0784,34460904,Impact of Antibiotic Stewardship Rounds in the Intensive Care Setting: A Prospective Cluster-Randomized Crossover Study.,2025-10-13T10:07:55.971106,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,34460904,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0786,39931585,Carbapenem Usage in the Initial Antibiotic Therapy of Sepsis in Japanese Intensive Care Units.,2025-10-13T10:07:55.972724,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,39931585,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,North America,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0793,38372558,A Prospective Quasi-Experimental Study of Multifaceted Interventions Including Computerized Drug Utilization Evaluation to Improve an Antibiotic Stewardship Program.,2025-10-13T10:07:55.974618,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,38372558,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0802,35578243,Evaluation of an audit and feedback intervention to reduce gentamicin prescription errors in newborn treatment (ReGENT) in neonatal inpatient care in Kenya: a controlled interrupted time series study protocol.,2025-10-13T10:07:55.975783,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,35578243,ITS,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0803,27452782,Reducing unnecessary antibiotic use in the neonatal intensive care unit (SCOUT): a prospective interrupted time-series study.,2025-10-13T10:07:55.976683,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,27452782,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0827,30786942,Diagnostic stewardship of C. difficile testing: a quasi-experimental antimicrobial stewardship study.,2025-10-13T10:07:55.977656,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,30786942,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['cdi'],['cdi'],False,Not registered,False
STUDY_0840,27887595,Antimicrobial stewardship of Chinese ministry of health reduces multidrug-resistant organism isolates in critically ill patients: a pre-post study from a single center.,2025-10-13T10:07:55.978728,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,27887595,Other,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0850,40982183,"Antibiotic Consumption in Danish Intensive Care Units, 2013-2023: A Nationwide Study of Temporal Trends.",2025-10-13T10:07:55.980135,Automated System,Pending,Not specified,2023,Authors not extracted from abstract,40982183,ITS,Hospital ward/unit,12.0,2,Mixed/Other,Not available from abstract,Not specified,ICU only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
STUDY_0881,23743088,"Long-term survival in patients included in a randomized controlled trial of TREAT, a decision support system for antibiotic treatment.",2025-10-13T10:07:55.981486,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,23743088,RCT,Individual patient,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['mortality'],['mortality'],False,Not registered,True
STUDY_0896,20673259,Balancing the benefits and costs of antibiotic drugs: the TREAT model.,2025-10-13T10:07:55.982524,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,20673259,ITS,Not specified,12.0,2,Mixed/Other,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['costs'],[],False,Not registered,False
STUDY_0903,33232831,The impact of a stewardship program on antibiotic administration in community-acquired pneumonia: Results from an observational before-after study.,2025-10-13T10:07:55.983168,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,33232831,Other,Hospital ward/unit,12.0,2,Community hospital,Not available from abstract,Not specified,General adult wards only,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,[],[],False,Not registered,False
STUDY_0963,28756579,Evaluation of effects of an operational multidisciplinary team on antibiotic use in the medium to long term at a French university hospital.,2025-10-13T10:07:55.983834,Automated System,Pending,Not specified,2020,Authors not extracted from abstract,28756579,Other,Entire hospital,12.0,2,Academic/teaching hospital,Not available from abstract,Not specified,Not specified,0,0.0,0.0,0.0,0.0,0.0,Not specified,6.0,False,Not specified,['antibiotic_consumption'],['antibiotic_consumption'],False,Not registered,False
